lat,lon
32.85677370322215,-117.23724412132178
32.85674779999178,-117.23724386519436
32.85672172006523,-117.23724365294164
32.85664255289098,-117.23724321232328
32.856615848281216,-117.23724315396835
32.85658898406325,-117.23724309391187
32.85656199796681,-117.2372430235231
32.856534857527144,-117.2372429968355
32.85650754446505,-117.23724303626487
32.856396953091306,-117.23724317626123
32.856368944053415,-117.23724327978113
32.856340781002785,-117.23724340337166
32.85631248559468,-117.23724353939072
32.856284086525534,-117.23724367082727
32.856255700357984,-117.23724383483663
32.85622735044704,-117.23724403515655
32.85619905916717,-117.2372441733215
32.856170768189905,-117.23724424765156
32.85608655157376,-117.23724451102021
32.856058632696445,-117.23724460098379
32.85603075244141,-117.23724460115645
32.85600291824021,-117.23724468998851
32.85597498634858,-117.23724474854107
32.855947067777,-117.23724476234429
32.855835733750865,-117.23724439161974
32.85580792340643,-117.2372441989124
32.855780106446055,-117.23724400474188
32.85575225457769,-117.23724383135328
32.85572441718354,-117.23724369860906
32.85569657372347,-117.2372435707572
32.855668707094146,-117.23724346899424
32.855557204101636,-117.23724323503711
32.855529258440825,-117.23724325302051
32.85550127080874,-117.23724322444485
32.855473203494675,-117.237243208643
32.85544518111732,-117.23724330230816
32.85541711114029,-117.23724338032135
32.855304329681026,-117.2372431974946
32.85527609389667,-117.23724303928087
32.855247828219525,-117.23724286277763
32.855219494431985,-117.2372427078052
32.855191208578375,-117.23724252478519
32.85516296429727,-117.23724225411144
32.855134807969286,-117.23724190109536
32.855023046027874,-117.23723960870424
32.85499534248146,-117.23723871548242
32.854967731123764,-117.2372377348525
32.85494021321653,-117.23723664273659
32.85491279974055,-117.23723545821088
32.8548038995554,-117.23723021253565
32.854776732676946,-117.23722871805077
32.85474959578197,-117.23722718146108
32.85472250950768,-117.23722557488495
32.85469538635836,-117.23722383639038
32.85466824202905,-117.23722202732858
32.85464125879029,-117.23722014135721
32.85453301855161,-117.2372121961592
32.85450602198201,-117.23721000785629
32.85447902428087,-117.23720772574595
32.85445202423165,-117.23720539344772
32.85442493829909,-117.23720309815388
32.85431711925241,-117.23719309004095
32.85429018687818,-117.23719034536607
32.854263180080274,-117.23718744335207
32.85423624492892,-117.23718438830568
32.85420940866302,-117.23718121818364
32.854182570569016,-117.2371779013064
32.854074965147255,-117.23716371273449
32.85404804258245,-117.23715991606457
32.85402103879812,-117.23715608667507
32.853993997191836,-117.23715214356785
32.853966974508324,-117.23714803785064
32.87667117950851,-117.23334405128084
32.87667439001992,-117.23334364896635
32.87667740305325,-117.23334335075218
32.87668024454508,-117.23334306372351
32.876682915315556,-117.23334285069424
32.87668540425293,-117.23334254984479
32.87668770358311,-117.23334221632099
32.876695191388244,-117.23334115149828
32.87669667654241,-117.23334095761992
32.876698044338326,-117.23334075498586
32.87669932205109,-117.2333405431947
32.87670050478189,-117.23334034533026
32.876701584167954,-117.2333401685718
32.87670257449129,-117.23333999179657
32.876706552041824,-117.23333916097359
32.87670755774851,-117.23333890710562
32.87670864746614,-117.23333867178849
32.87670986616651,-117.23333838509859
32.87671125585696,-117.2333379903002
32.87671285266815,-117.23333753070887
32.87671463480009,-117.23333698461998
32.87672395800685,-117.233333761923
32.876726853337665,-117.23333264247255
32.87672992221582,-117.23333134440516
32.87673315306108,-117.23332982671879
32.87673656690446,-117.23332813047266
32.87674013830468,-117.2333262557122
32.876743833838695,-117.23332414444208
32.876759235003554,-117.23331281128952
32.87676308034804,-117.23330923330614
32.87676687259071,-117.23330530764878
32.87677061081686,-117.23330105491185
32.87677424012696,-117.23329642199907
32.876777746094604,-117.23329144122707
32.87678114451295,-117.2332861159703
32.87679283453929,-117.23326176802124
32.87679514663916,-117.23325485078009
32.87679717545394,-117.2332476150658
32.87679886338777,-117.2332400704454
32.876800163300665,-117.23323226688407
32.87680110283895,-117.2332241831457
32.87680165539254,-117.2332158413242
32.87680096917943,-117.23318934743212
32.876799970987676,-117.2331800333988
32.87679863758141,-117.23317048773464
32.876797028057105,-117.23316066296871
32.87679517033086,-117.23315058371523
32.87679310333011,-117.23314023781242
32.87679088307923,-117.23312957517868
32.876788571006365,-117.23311859030382
32.876778879093045,-117.23307131387465
32.876776365247444,-117.23305866073298
32.876773835307425,-117.23304565879609
32.87677127875524,-117.2330323330058
32.876768696866804,-117.23301867181766
32.87676609023057,-117.233004685785
32.87675533343849,-117.23294543668993
32.87675246907668,-117.23292978979383
32.87674953043376,-117.23291381524176
32.87674651281786,-117.23289749325224
32.87674340755631,-117.232880838109
32.87674022528529,-117.23286384474615
32.876736958347394,-117.2328465103348
32.876723152130474,-117.23277376477866
32.876719437359945,-117.23275474808077
32.876715597626514,-117.23273542068355
32.876711621880865,-117.2327157612152
32.876707520156096,-117.23269577573912
32.876703311168555,-117.23267550137092
32.87668538434391,-117.23259188702421
32.87668072130522,-117.23257053178976
32.876675987295044,-117.23254907700236
32.8768496006666,-117.2331086579995
32.87684961871639,-117.23310866995651
32.87684962737016,-117.23310868556091
32.87684964047827,-117.23310869427648
32.876849651967404,-117.23310870010559
32.87684966254941,-117.2331087153505
32.87684967534313,-117.23310872845283
32.87684968677909,-117.23310873595224
32.87684972277652,-117.23310878894577
32.87684973092769,-117.23310880790629
32.876849741415235,-117.23310882220224
32.87684974364982,-117.23310883624569
32.876849750833394,-117.23310885105896
32.87684975707063,-117.23310886620943
32.87684976154339,-117.23310887720692
32.87684976959007,-117.23310888974044
32.876849781291256,-117.23310890198368
32.876849784063914,-117.23310891681477
32.876849785366026,-117.23310893029648
32.87684979467027,-117.233108948252
32.876849792116104,-117.23310895729028
32.876849798731904,-117.23310897385478
32.876849800492124,-117.2331089828516
32.87684980127148,-117.23310899623472
32.8768498023083,-117.23310901176471
32.876849805605566,-117.23310902024977
32.87684980299354,-117.23310903757135
32.87684980806776,-117.23310905099449
32.8768498016755,-117.23310906434594
32.876849804538644,-117.23310907806444
32.876849792616504,-117.23310908078587
32.876849796476264,-117.23310909673151
32.87684979559348,-117.23310911197598
32.87684978995846,-117.23310912195277
32.876849787887664,-117.23310913523241
32.876849782416954,-117.23310914544693
32.876849781597684,-117.23310916104148
32.87684977578741,-117.23310916889777
32.876849766974885,-117.2331091849683
32.87684976396289,-117.233109194152
32.87684976108773,-117.23310920853136
32.87684975461775,-117.23310921605645
32.876849747052624,-117.23310923060468
32.87684974648805,-117.23310924293108
32.87684974450164,-117.23310925111521
32.876849744998665,-117.23310926481085
32.876849743705236,-117.23310928086174
32.87684973688921,-117.2331092883319
32.876849735964925,-117.23310930678076
32.87684973471412,-117.23310931860243
32.876849728969326,-117.23310933016306
32.876849731864,-117.23310934534378
32.876849732277414,-117.23310936125708
32.87684972867617,-117.23310938050743
32.8768497283997,-117.2331093937492
32.87684972500339,-117.23310940639445
32.876849727806324,-117.23310942333616
32.87684972242689,-117.23310943931143
32.87684972169811,-117.23310945336115
32.87684972011837,-117.2331094701951
32.87684971953017,-117.23310948146387
32.876849715497286,-117.23310949518715
32.876849711753806,-117.23310951179847
32.87684969097277,-117.23310956847172
32.87684969071797,-117.23310958320272
32.87684968559055,-117.23310960261142
32.87684967925446,-117.23310961726447
32.876849672002514,-117.23310963442398
32.87684966553865,-117.2331096470945
32.87684966200036,-117.23310966226944
32.87684965338781,-117.23310967975569
32.876849646454325,-117.23310969411087
32.87684964213974,-117.23310970766457
32.87684963339055,-117.23310972506229
32.87684962872671,-117.23310973799444
32.876849622615964,-117.23310975297666
32.87684961031353,-117.23310975624979
32.876849603850445,-117.23310976487907
32.87684959645978,-117.23310977855465
32.876849585214984,-117.23310978636292
32.87684958014352,-117.23310979565966
32.876849578614085,-117.23310980784169
32.87684956823155,-117.23310981181879
32.87684956568182,-117.23310981690636
32.87684956251844,-117.23310982532166
32.87684956459537,-117.23310983753824
32.87684954862436,-117.23310983854324
32.876849541966955,-117.233109842787
32.8768495408999,-117.23310984909351
32.876849532897594,-117.23310985455534
32.876849532254354,-117.2331098608486
32.87684952332053,-117.23310986943628
32.876849516650715,-117.23310987338587
32.876849511867114,-117.23310987608622
