ts_unix,ped_count,lat,lon,ts,clipID
1615680851972,1,32.88026395274796,-117.23313893775152,2021-03-14 00:14:11.972,cjd5dsseoh18v1l6
1615680850991,1,32.88024806397995,-117.23316571452897,2021-03-14 00:14:10.991,cjd5dsseoh18v1l6
1615680849971,1,32.88022755566206,-117.23320194181059,2021-03-14 00:14:09.971,cjd5dsseoh18v1l6
1615680848995,1,32.880203798700286,-117.23324646983343,2021-03-14 00:14:08.995,cjd5dsseoh18v1l6
1615680848032,1,32.880173293293424,-117.23330426758034,2021-03-14 00:14:08.032,cjd5dsseoh18v1l6
1615680846966,1,32.880140190889094,-117.23337962399069,2021-03-14 00:14:06.966,cjd5dsseoh18v1l6
1615680846090,1,32.88011542033681,-117.23345904750624,2021-03-14 00:14:06.090,cjd5dsseoh18v1l6
1483233178256,1,32.87690830854707,-117.22981150881719,2017-01-01 01:12:58.256,cb4nhcza0jo1mkrc
1483233181361,1,32.87667710496712,-117.22990865948401,2017-01-01 01:13:01.361,cb4nhcza0jo1mkrc
1483233182408,1,32.87659796677629,-117.22992613555849,2017-01-01 01:13:02.408,cb4nhcza0jo1mkrc
1612313824650,1,32.873211040118285,-117.23436396021243,2021-02-03 00:57:04.650,czv0fdhx5hr4f4gc
1612313833915,2,32.87219377156054,-117.23399523008881,2021-02-03 00:57:13.915,czv0fdhx5hr4f4gc
1612313832983,2,32.872277337830006,-117.23404037112788,2021-02-03 00:57:12.983,czv0fdhx5hr4f4gc
1612313832069,1,32.87236679595976,-117.23409102130442,2021-02-03 00:57:12.069,czv0fdhx5hr4f4gc
1612313831052,1,32.872471989192114,-117.23415104175078,2021-02-03 00:57:11.052,czv0fdhx5hr4f4gc
1612313825780,1,32.873087206058734,-117.23436362033684,2021-02-03 00:57:05.780,czv0fdhx5hr4f4gc
1616698462489,1,32.87752983064805,-117.22297198898129,2021-03-25 18:54:22.489,c863fxqgxuoocvq5
1616698461558,2,32.877540013932446,-117.22307221127407,2021-03-25 18:54:21.558,c863fxqgxuoocvq5
1616698460508,2,32.87755758698125,-117.22318616618963,2021-03-25 18:54:20.508,c863fxqgxuoocvq5
1616698459529,2,32.877576921505245,-117.22330024498513,2021-03-25 18:54:19.529,c863fxqgxuoocvq5
1612486111801,2,32.887528737926594,-117.23880495910463,2021-02-05 00:48:31.801,cvlvbss8wo21e5d4
1612486110751,2,32.88769132761902,-117.23881844450443,2021-02-05 00:48:30.751,cvlvbss8wo21e5d4
1616286541506,1,32.84057680575313,-117.27265781745555,2021-03-21 00:29:01.506,c240s35nnevvmhwa
1616286540525,2,32.840628270758096,-117.27265038074668,2021-03-21 00:29:00.525,c240s35nnevvmhwa
1483233177276,1,32.87697077254132,-117.22977142919076,2017-01-01 01:12:57.276,c3cv1rekz0jn1ebd
1483233176376,1,32.87702714762579,-117.22973505214222,2017-01-01 01:12:56.376,c3cv1rekz0jn1ebd
1483233175304,1,32.8770945311212,-117.22969608232208,2017-01-01 01:12:55.304,c3cv1rekz0jn1ebd
1483233174312,1,32.87714597984332,-117.22967053387787,2017-01-01 01:12:54.312,c3cv1rekz0jn1ebd
