ts_unix,lat,lon
1668194495535,32.865445,-117.243405
1668194548554,32.859032,-117.246691
1668194573612,32.854857,-117.245548
1668194573612,32.854857,-117.245548
1668194578565,32.854086,-117.245497
1668194648444,32.850515,-117.251249
1668194654534,32.85052,-117.251247
1668194719590,32.8505,-117.251254
1668194734530,32.850505,-117.252038
1668194865503,32.854321,-117.255641
1668194898444,32.855149,-117.255399
1668194910441,32.855354,-117.254856
1668194999599,32.85532,-117.254982
1668195244625,32.853252,-117.255712
1668195384449,32.854058,-117.255721
1668194383418,32.870165,-117.241394
