

1668195124883,32.854111,-117.257041
1668195219745,32.854008,-117.255696
1668195272777,32.852567,-117.256283
1668195297740,32.853834,-117.256597
1668195297740,32.853834,-117.256597
1668195302708,32.853972,-117.256626
1668195302796,32.853974,-117.256629
1668195378741,32.854080,-117.255802
1668195443757,32.853335,-117.256519
1668195458723,32.853790,-117.256593
1668195589724,32.854576,-117.258877
1668195634709,32.854379,-117.258166
1668195964887,32.869107,-117.249101
1668196108712,32.874028,-117.243754
1668195107773,32.853793,-117.256595
