1613870363893,32.723889823716796,-117.16452630721814,-9.009439082962805,376,447,10,11
1613870364109,32.72397060506059,-117.16462160721753,-8.474044398504363,256,399,10,11
1613870364240,32.723991897229666,-117.16464507228956,-8.32873858931002,246,393,10,11
1613870364332,32.72401318927409,-117.1646683896295,-8.191726090821396,228,380,10,11
1613870364479,32.72403473718049,-117.16469155909853,-8.051786343131383,213,369,10,11
1613870364592,32.72405652957919,-117.16471461141121,-7.907935794901203,201,358,10,11
1613870364713,32.72407848229339,-117.16473750148474,-7.77402374846174,190,346,10,11
1613870364861,32.724100619811004,-117.16476021872624,-7.6409547908410325,179,334,10,11
1613870364974,32.72412299736869,-117.16478276255125,-7.496271112093048,173,327,10,11
1613870365121,32.72419104859052,-117.16484922793992,-7.099171918539577,150,296,10,11
1613870365254,32.724214064679074,-117.16487103890799,-6.960856866857952,144,287,10,11
1613870365344,32.724237224508784,-117.16489271856837,-6.811185494810596,141,282,10,11
1613870365497,32.724260484019894,-117.16491431416,-6.660086004827988,138,276,11,11
1613870365609,32.724283815722174,-117.16493589728965,-6.500861495080426,137,274,11,11
1613870365727,32.724307143656866,-117.16495749901023,-6.357063484583112,134,268,11,11
1613870365858,32.72433047109469,-117.1649791672593,-6.21568667540633,132,263,11,11
1613870365982,32.72435371422629,-117.16500063113554,-6.087196341486216,127,258,11,11
1613870366203,32.72442352261346,-117.16506593817115,-5.686832795178709,119,248,11,11
1613870366313,32.72444682095832,-117.16508783909542,-5.556367554265823,117,244,11,11
1613870366405,32.72447009499425,-117.16510977306874,-5.435504531034165,114,241,11,11
1613870366551,32.72449338260366,-117.16513175015534,-5.301196062137761,113,239,11,11
1613870366666,32.72451671138701,-117.1651538369471,-5.1600490581860665,112,238,11,11
1613870366792,32.724540047027055,-117.16517583815488,-5.03418590502712,111,236,11,11
1613870367006,32.72463336872292,-117.16526402731797,-4.517583660204402,106,228,11,11
1613870367273,32.72465664423687,-117.16528609097509,-4.393100468071221,105,225,11,11
1613870367409,32.724679922914156,-117.16530818801238,-4.262978033377887,104,224,11,11
1613870367498,32.72470317926102,-117.16533023097666,-4.138735123882192,103,223,11,11
1613870367716,32.7247959744625,-117.16541834799091,-3.625546159352954,101,219,11,11
1613870367831,32.724819137880885,-117.16544029325725,-3.506255705111614,100,218,11,11
1613870367946,32.72484228339689,-117.16546222642695,-3.382930682727216,99,216,11,11
1613870368217,32.724911694052466,-117.16552794431453,-3.031981698549223,96,210,11,11
1613870368345,32.72493477205931,-117.16554973683516,-2.9129227230683297,95,208,11,11
1613870368455,32.72495786253945,-117.16557160648073,-2.780605954480218,94,206,11,11
1613870368568,32.724980953550094,-117.16559345989435,-2.646761194197099,94,205,11,11
1613870368693,32.7250039785032,-117.16561527058124,-2.525642843265818,93,203,11,11
1613870368827,32.72502700138637,-117.16563703763582,-2.405773410883899,92,202,11,11
1613870368938,32.725050002564814,-117.1656588200052,-2.281456641908725,91,200,11,11
1613870369126,32.72511886912823,-117.16572397221745,-1.941778210794098,87,192,11,11
1613870369260,32.72514179053303,-117.16574566111967,-1.835235473947076,85,187,11,11
1613870369390,32.725164686261415,-117.16576731960564,-1.7247705537885056,83,183,11,11
1613870369496,32.725187572255386,-117.16578893134175,-1.616600598441112,81,179,11,11
1613870369586,32.725210446999604,-117.16581054764158,-1.4998098507558042,80,176,11,11
1613870369731,32.725233297383674,-117.1658321249607,-1.3908398601713134,78,171,11,11
1613870369865,32.72525612414749,-117.16585366349035,-1.274283651228783,76,168,11,11
1613870369978,32.72527889174916,-117.16587524951204,-1.1597199932574378,74,164,11,11
1613870370149,32.72534705064968,-117.16593987832731,-0.7958329234401791,71,156,11,11
1613870370261,32.72536973161418,-117.16596133375565,-0.6713283277495175,70,154,11,11
1613870370355,32.72539237997566,-117.16598281247343,-0.5542332215874298,68,150,11,11
1613870370508,32.7254150221318,-117.16600426218652,-0.4344669880021345,66,146,11,11
1613870370621,32.72543763155011,-117.16602571751079,-0.3136316696987948,65,143,11,11
1613870370757,32.725460184044294,-117.16604717228574,-0.1948235635776555,64,141,11,11
1613870370867,32.725482715385745,-117.16606861660519,-0.07955279684963107,63,139,11,11
1613870371142,32.72557257525555,-117.16615415563928,0.36189356926990246,60,131,11,11
1613870371290,32.72559498128465,-117.16617551872703,0.45979331422837744,58,127,11,11
1613870371379,32.7256173547875,-117.16619685808881,0.5603750232603714,57,124,11,11
1613870371527,32.72563971531354,-117.16621821297441,0.6572366031006955,56,121,11,11
1613870371646,32.72566204943333,-117.16623951733185,0.758783635796789,55,119,11,11
1613870371758,32.72568434676363,-117.16626083439581,0.8629648962746905,54,118,11,11
1613870371895,32.72570665577497,-117.16628211312657,0.9597660508860546,53,116,11,11
1613870372112,32.725795772655886,-117.16636707078045,1.3325128788191252,51,109,11,11
1613870372298,32.725818024391934,-117.16638823280107,1.4166972964283262,50,108,11,11
1613870372387,32.72584027841173,-117.16640939054257,1.506443687556512,49,106,11,11
1613870372539,32.725862510014,-117.16643056441168,1.588536177193871,49,104,11,11
1613870372649,32.72588472969733,-117.1664517253628,1.6694638608720531,48,103,11,11
1613870372785,32.725906957800284,-117.16647290077584,1.7475078105230792,48,102,11,11
1613870372898,32.7259291731803,-117.16649401886312,1.8186049507426003,47,101,11,11
1613870373033,32.725995690359255,-117.16655739794646,2.0218613841970994,44,93,11,11
1613870373179,32.726017822201634,-117.16657848498525,2.0792584508262815,44,93,11,11
1613870373296,32.72604003360234,-117.16659956614471,2.1430413315400534,43,92,11,11
